Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/26/20 16:00,1058.0,52.0,42.0
Guangdong,Mainland China,1/26/20 16:00,111.0,,2.0
Zhejiang,Mainland China,1/26/20 16:00,104.0,,1.0
Henan,Mainland China,1/26/20 16:00,83.0,1.0,
Chongqing,Mainland China,1/26/20 16:00,75.0,,
Hunan,Mainland China,1/26/20 16:00,69.0,,
Beijing,Mainland China,1/26/20 16:00,68.0,,2.0
Anhui,Mainland China,1/26/20 16:00,60.0,,
Shandong,Mainland China,1/26/20 16:00,46.0,,
Sichuan,Mainland China,1/26/20 16:00,44.0,,
Shanghai,Mainland China,1/26/20 16:00,40.0,1.0,1.0
Guangxi,Mainland China,1/26/20 16:00,36.0,,
Jiangxi,Mainland China,1/26/20 16:00,36.0,,
Fujian,Mainland China,1/26/20 16:00,35.0,,
Jiangsu,Mainland China,1/26/20 16:00,33.0,,1.0
Hainan,Mainland China,1/26/20 16:00,22.0,,
Shaanxi,Mainland China,1/26/20 16:00,22.0,,
Liaoning,Mainland China,1/26/20 16:00,21.0,,
Yunnan,Mainland China,1/26/20 16:00,16.0,,
Heilongjiang,Mainland China,1/26/20 16:00,15.0,1.0,
Tianjin,Mainland China,1/26/20 16:00,14.0,,
Hebei,Mainland China,1/26/20 16:00,13.0,1.0,
Shanxi,Mainland China,1/26/20 16:00,9.0,,
Hong Kong,Hong Kong,1/26/20 16:00,8.0,,
Inner Mongolia,Mainland China,1/26/20 16:00,7.0,,
Gansu,Mainland China,1/26/20 16:00,7.0,,
Guizhou,Mainland China,1/26/20 16:00,5.0,,
Macau,Macau,1/26/20 16:00,5.0,,
Ningxia,Mainland China,1/26/20 16:00,4.0,,
Jilin,Mainland China,1/26/20 16:00,4.0,,
Taiwan,Taiwan,1/26/20 16:00,4.0,,
Xinjiang,Mainland China,1/26/20 16:00,4.0,,
Qinghai,Mainland China,1/26/20 16:00,1.0,,
Washington,US,1/26/20 16:00,1.0,,
Illinois,US,1/26/20 16:00,1.0,,
California,US,1/26/20 16:00,2.0,,
Arizona,US,1/26/20 16:00,1.0,,
,Japan,1/26/20 16:00,4.0,,1.0
,Thailand,1/26/20 16:00,8.0,0.0,6.0
,South Korea,1/26/20 16:00,3.0,,
,Singapore,1/26/20 16:00,4.0,,
,Vietnam,1/26/20 16:00,2.0,,
,France,1/26/20 16:00,3.0,,
,Australia,1/26/20 16:00,4.0,,
,Nepal,1/26/20 16:00,1.0,,
,Malaysia,1/26/20 16:00,4.0,,
Ontario,Canada,1/26/20 16:00,1.0,,
Unknown,China,1/26/20 16:00,,,
