Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/30/20 16:00,4903.0,162.0,90.0
Zhejiang,Mainland China,1/30/20 16:00,428.0,,4.0
Guangdong,Mainland China,1/30/20 16:00,354.0,,10.0
Henan,Mainland China,1/30/20 16:00,278.0,2.0,2.0
Hunan,Mainland China,1/30/20 16:00,277.0,,2.0
Anhui,Mainland China,1/30/20 16:00,200.0,,2.0
Chongqing,Mainland China,1/30/20 16:00,182.0,,1.0
Jiangxi,Mainland China,1/30/20 16:00,162.0,,5.0
Shandong,Mainland China,1/30/20 16:00,158.0,,1.0
Sichuan,Mainland China,1/30/20 16:00,142.0,1.0,1.0
Jiangsu,Mainland China,1/30/20 16:00,129.0,,1.0
Beijing,Mainland China,1/30/20 16:00,114.0,1.0,4.0
Shanghai,Mainland China,1/30/20 16:00,112.0,1.0,5.0
Fujian,Mainland China,1/30/20 16:00,101.0,,
Guangxi,Mainland China,1/30/20 16:00,78.0,,2.0
Yunnan,Mainland China,1/30/20 16:00,70.0,,
Hebei,Mainland China,1/30/20 16:00,65.0,1.0,
Shaanxi,Mainland China,1/30/20 16:00,63.0,,
Hainan,Mainland China,1/30/20 16:00,46.0,1.0,1.0
Heilongjiang,Mainland China,1/30/20 16:00,44.0,2.0,
Liaoning,Mainland China,1/30/20 16:00,41.0,,1.0
Shanxi,Mainland China,1/30/20 16:00,35.0,,1.0
Tianjin,Mainland China,1/30/20 16:00,31.0,,
Gansu,Mainland China,1/30/20 16:00,26.0,,
Inner Mongolia,Mainland China,1/30/20 16:00,19.0,,
Ningxia,Mainland China,1/30/20 16:00,17.0,,
Jilin,Mainland China,1/30/20 16:00,14.0,,1.0
Xinjiang,Mainland China,1/30/20 16:00,14.0,,
Guizhou,Mainland China,1/30/20 16:00,12.0,,1.0
Hong Kong,Hong Kong,1/30/20 16:00,10.0,,
Taiwan,Taiwan,1/30/20 16:00,9.0,,
Qinghai,Mainland China,1/30/20 16:00,8.0,,
Macau,Macau,1/30/20 16:00,7.0,,
Tibet,Mainland China,1/30/20 16:00,1.0,,
Washington,US,1/30/20 16:00,1.0,,
Illinois,US,1/30/20 16:00,1.0,,
California,US,1/30/20 16:00,2.0,,
Arizona,US,1/30/20 16:00,1.0,,
,Japan,1/30/20 16:00,11.0,,1.0
,Thailand,1/30/20 16:00,14.0,0.0,7.0
,South Korea,1/30/20 16:00,4.0,,
,Singapore,1/30/20 16:00,10.0,,
,Vietnam,1/30/20 16:00,2.0,,
,France,1/30/20 16:00,5.0,,
,Nepal,1/30/20 16:00,1.0,,
,Malaysia,1/30/20 16:00,8.0,,
Ontario,Canada,1/30/20 16:00,2.0,,
British Columbia,Canada,1/30/20 16:00,1.0,,
,Cambodia,1/30/20 16:00,1.0,,
,Sri Lanka,1/30/20 16:00,1.0,,
New South Wales,Australia,1/30/20 16:00,4.0,,2.0
Victoria,Australia,1/30/20 16:00,2.0,,
Queensland,Australia,1/30/20 16:00,3.0,,
Bavaria,Germany,1/30/20 16:00,4.0,,
,Finland,1/30/20 16:00,1.0,,
,United Arab Emirates,1/30/20 16:00,4.0,,
,Philippines,1/30/20 16:00,1.0,,
,India,1/30/20 16:00,1.0,,
Unknown,China,1/30/20 16:00,,,
