Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/25/20 17:00,761.0,40.0,32.0
Guangdong,Mainland China,1/25/20 17:00,78.0,,2.0
Zhejiang,Mainland China,1/25/20 17:00,62.0,,1.0
Chongqing,Mainland China,1/25/20 17:00,57.0,,
Hunan,Mainland China,1/25/20 17:00,43.0,,
Beijing,Mainland China,1/25/20 17:00,41.0,,2.0
Anhui,Mainland China,1/25/20 17:00,39.0,,
Shanghai,Mainland China,1/25/20 17:00,33.0,,1.0
Henan,Mainland China,1/25/20 17:00,32.0,,
Sichuan,Mainland China,1/25/20 17:00,28.0,,
Shandong,Mainland China,1/25/20 17:00,27.0,,
Guangxi,Mainland China,1/25/20 17:00,23.0,,
Hainan,Mainland China,1/25/20 17:00,19.0,,
Jiangxi,Mainland China,1/25/20 17:00,18.0,,
Fujian,Mainland China,1/25/20 17:00,18.0,,
Jiangsu,Mainland China,1/25/20 17:00,18.0,,1.0
Liaoning,Mainland China,1/25/20 17:00,17.0,,
Shaanxi,Mainland China,1/25/20 17:00,15.0,,
Yunnan,Mainland China,1/25/20 17:00,11.0,,
Tianjin,Mainland China,1/25/20 17:00,10.0,,
Heilongjiang,Mainland China,1/25/20 17:00,9.0,1.0,
Hebei,Mainland China,1/25/20 17:00,8.0,1.0,
Inner Mongolia,Mainland China,1/25/20 17:00,7.0,,
Shanxi,Mainland China,1/25/20 17:00,6.0,,
Hong Kong,Hong Kong,1/25/20 17:00,5.0,,
Guizhou,Mainland China,1/25/20 17:00,4.0,,
Jilin,Mainland China,1/25/20 17:00,4.0,,
Gansu,Mainland China,1/25/20 17:00,4.0,,
Ningxia,Mainland China,1/25/20 17:00,3.0,,
Taiwan,Taiwan,1/25/20 17:00,3.0,,
Xinjiang,Mainland China,1/25/20 17:00,3.0,,
Macau,Macau,1/25/20 17:00,2.0,,
Qinghai,Mainland China,1/25/20 17:00,1.0,,
Washington,US,1/25/20 17:00,1.0,,
Illinois,US,1/25/20 17:00,1.0,,
,Japan,1/25/20 17:00,2.0,,
,Thailand,1/25/20 17:00,6.0,0.0,3.0
,South Korea,1/25/20 17:00,2.0,,
,Singapore,1/25/20 17:00,3.0,,
,Vietnam,1/25/20 17:00,2.0,,
,France,1/25/20 17:00,3.0,,
,Australia,1/25/20 17:00,4.0,,
,Nepal,1/25/20 17:00,1.0,,
,Malaysia,1/25/20 17:00,3.0,,
Unknown,China,1/25/20 17:00,,,
