Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/31/2020 23:59,5806.0,204.0,141.0
Zhejiang,Mainland China,1/31/2020 23:59,538.0,,14.0
Guangdong,Mainland China,1/31/2020 23:59,436.0,,11.0
Henan,Mainland China,1/31/2020 23:59,352.0,2.0,3.0
Hunan,Mainland China,1/31/2020 23:59,332.0,,2.0
Jiangxi,Mainland China,1/31/2020 23:59,240.0,,7.0
Anhui,Mainland China,1/31/2020 23:59,237.0,,3.0
Chongqing,Mainland China,1/31/2020 23:59,211.0,,1.0
Shandong,Mainland China,1/31/2020 23:59,184.0,,2.0
Sichuan,Mainland China,1/31/2020 23:59,177.0,1.0,1.0
Jiangsu,Mainland China,1/31/2020 23:59,168.0,,5.0
Beijing,Mainland China,1/31/2020 23:59,139.0,1.0,5.0
Shanghai,Mainland China,1/31/2020 23:59,135.0,1.0,9.0
Fujian,Mainland China,1/31/2020 23:59,120.0,,
Guangxi,Mainland China,1/31/2020 23:59,87.0,,2.0
Shaanxi,Mainland China,1/31/2020 23:59,87.0,,
Yunnan,Mainland China,1/31/2020 23:59,83.0,,1.0
Hebei,Mainland China,1/31/2020 23:59,82.0,1.0,
Heilongjiang,Mainland China,1/31/2020 23:59,59.0,2.0,
Hainan,Mainland China,1/31/2020 23:59,52.0,1.0,1.0
Liaoning,Mainland China,1/31/2020 23:59,48.0,,1.0
Shanxi,Mainland China,1/31/2020 23:59,39.0,,1.0
Tianjin,Mainland China,1/31/2020 23:59,32.0,,
Guizhou,Mainland China,1/31/2020 23:59,29.0,,2.0
Gansu,Mainland China,1/31/2020 23:59,29.0,,
Ningxia,Mainland China,1/31/2020 23:59,21.0,,
Inner Mongolia,Mainland China,1/31/2020 23:59,20.0,,1.0
Xinjiang,Mainland China,1/31/2020 23:59,17.0,,
Jilin,Mainland China,1/31/2020 23:59,14.0,,1.0
Hong Kong,Hong Kong,1/31/2020 23:59,12.0,,
Taiwan,Taiwan,1/31/2020 23:59,10.0,,
Qinghai,Mainland China,1/31/2020 23:59,8.0,,
Macau,Macau,1/31/2020 23:59,7.0,,
Tibet,Mainland China,1/31/2020 23:59,1.0,,
,Thailand,1/31/2020 23:59,19.0,0.0,8.0
,Japan,1/31/2020 23:59,15.0,,1.0
,Singapore,1/31/2020 23:59,13.0,,
,South Korea,1/31/2020 23:59,11.0,,
,Malaysia,1/31/2020 23:59,8.0,,
,France,1/31/2020 23:59,5.0,,
Bavaria,Germany,1/31/2020 23:59,5.0,,
New South Wales,Australia,1/31/2020 23:59,4.0,,2.0
,United Arab Emirates,1/31/2020 23:59,4.0,,
Victoria,Australia,1/31/2020 23:59,3.0,,
Illinois,US,1/31/2020 23:59,2.0,,
California,US,1/31/2020 23:59,2.0,,
,Vietnam,1/31/2020 23:59,2.0,,
Ontario,Canada,1/31/2020 23:59,2.0,,
Queensland,Australia,1/31/2020 23:59,2.0,,
,Italy,1/31/2020 23:59,2.0,,
,UK,1/31/2020 23:59,2.0,,
,Russia,1/31/2020 23:59,2.0,,
Washington,US,1/31/2020 23:59,1.0,,
Arizona,US,1/31/2020 23:59,1.0,,
,Nepal,1/31/2020 23:59,1.0,,
British Columbia,Canada,1/31/2020 23:59,1.0,,
,Cambodia,1/31/2020 23:59,1.0,,
,Sri Lanka,1/31/2020 23:59,1.0,,
,Finland,1/31/2020 23:59,1.0,,
,Philippines,1/31/2020 23:59,1.0,,
,India,1/31/2020 23:59,1.0,,
,Sweden,1/31/2020 23:59,1.0,,
Unknown,China,1/31/2020 23:59,,,
