date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-01-22,Anhui,1,0,0,31.82569999999984,117.2263999999996,1
2020-01-22,Beijing,14,0,0,40.18239999999991,116.4141999999994,14
2020-01-22,Chongqing,6,0,0,30.057199999999813,107.87400000000093,6
2020-01-22,Fujian,1,0,0,26.07890000000027,117.98739999999988,1
2020-01-22,Gansu,0,0,0,36.0412190045249,103.83377420814438,0
2020-01-22,Guangdong,26,0,0,23.341700000000138,113.42440000000113,26
2020-01-22,Guangxi,2,0,0,23.829800000000056,108.78809999999984,2
2020-01-22,Guizhou,1,0,0,26.815399999999975,106.87479999999971,1
2020-01-22,Hainan,4,0,0,19.195899999999913,109.74530000000036,4
2020-01-22,Hebei,1,0,0,38.12337828054259,115.04940882352885,1
2020-01-22,Heilongjiang,0,0,0,47.861999999999924,127.76150000000041,0
2020-01-22,Henan,5,0,0,33.9549763636361,113.63745818181904,5
2020-01-22,Hong Kong,0,0,0,22.299999999999986,114.19999999999932,0
2020-01-22,Hubei,444,17,28,30.97559999999986,112.27070000000047,399
2020-01-22,Hunan,4,0,0,27.610399999999725,111.7088000000003,4
2020-01-22,Inner Mongolia,0,0,0,44.0935000000002,113.9447999999994,0
2020-01-22,Jiangsu,1,0,0,32.97110000000024,119.45500000000118,1
2020-01-22,Jiangxi,2,0,0,27.61399999999973,115.72209999999949,2
2020-01-22,Jilin,0,0,0,43.666100000000014,126.19230000000071,0
2020-01-22,Liaoning,2,0,0,41.295599999999965,122.6085000000004,2
2020-01-22,Macau,1,0,0,22.16669999999991,113.55000000000067,1
2020-01-22,Ningxia,1,0,0,37.26920000000027,106.16550000000039,1
2020-01-22,Qinghai,0,0,0,35.74519999999977,95.99559999999988,0
2020-01-22,Shaanxi,0,0,0,35.191699999999784,108.87010000000008,0
2020-01-22,Shandong,2,0,0,36.34269999999968,118.14979999999937,2
2020-01-22,Shanghai,9,0,0,31.201999999999824,121.44909999999969,9
2020-01-22,Shanxi,1,0,0,37.577699999999865,112.2922000000011,1
2020-01-22,Sichuan,5,0,0,30.617099999999905,102.71029999999935,5
2020-01-22,Tianjin,4,0,0,39.305399999999786,117.32299999999897,4
2020-01-22,Tibet,0,0,0,31.692699999999732,88.09240000000064,0
2020-01-22,Xinjiang,0,0,0,41.112900000000074,85.24010000000013,0
2020-01-22,Yunnan,1,0,0,24.974000000000125,101.48700000000048,1
2020-01-22,Zhejiang,10,0,0,29.183199999999925,120.09339999999965,10
2020-01-23,Anhui,9,0,0,31.82569999999984,117.2263999999996,9
2020-01-23,Beijing,22,0,0,40.18239999999991,116.4141999999994,22
2020-01-23,Chongqing,9,0,0,30.057199999999813,107.87400000000093,9
2020-01-23,Fujian,5,0,0,26.07890000000027,117.98739999999988,5
2020-01-23,Gansu,2,0,0,36.0412190045249,103.83377420814438,2
2020-01-23,Guangdong,32,0,2,23.341700000000138,113.42440000000113,30
2020-01-23,Guangxi,5,0,0,23.829800000000056,108.78809999999984,5
2020-01-23,Guizhou,3,0,0,26.815399999999975,106.87479999999971,3
2020-01-23,Hainan,5,0,0,19.195899999999913,109.74530000000036,5
2020-01-23,Hubei,444,17,28,30.97559999999986,112.27070000000047,399
2020-01-23,Heilongjiang,2,0,0,47.861999999999924,127.76150000000041,2
2020-01-23,Henan,5,0,0,33.9549763636361,113.63745818181904,5
2020-01-23,Hong Kong,2,0,0,22.299999999999986,114.19999999999932,2
2020-01-23,Hubei,444,17,28,30.97559999999986,112.27070000000047,399
2020-01-23,Hunan,9,0,0,27.610399999999725,111.7088000000003,9
2020-01-23,Inner Mongolia,0,0,0,44.0935000000002,113.9447999999994,0
2020-01-23,Jiangsu,5,0,0,32.97110000000024,119.45500000000118,5
2020-01-23,Jiangxi,7,0,0,27.61399999999973,115.72209999999949,7
2020-01-23,Jilin,1,0,0,43.666100000000014,126.19230000000071,1
2020-01-23,Liaoning,3,0,0,41.295599999999965,122.6085000000004,3
2020-01-23,Macau,2,0,0,22.16669999999991,113.55000000000067,2
2020-01-23,Ningxia,1,0,0,37.26920000000027,106.16550000000039,1
2020-01-23,Qinghai,0,0,0,35.74519999999977,95.99559999999988,0
2020-01-23,Shaanxi,3,0,0,35.191699999999784,108.87010000000008,3
2020-01-23,Shandong,6,0,0,36.34269999999968,118.14979999999937,6
2020-01-23,Shanghai,16,0,0,31.201999999999824,121.44909999999969,16
2020-01-23,Shanxi,1,0,0,37.577699999999865,112.2922000000011,1
2020-01-23,Sichuan,8,0,0,30.617099999999905,102.71029999999935,8
2020-01-23,Tianjin,4,0,0,39.305399999999786,117.32299999999897,4
2020-01-23,Tibet,0,0,0,31.692699999999732,88.09240000000064,0
2020-01-23,Xinjiang,2,0,0,41.112900000000074,85.24010000000013,2
2020-01-23,Yunnan,2,0,0,24.974000000000125,101.48700000000048,2
2020-01-23,Zhejiang,27,0,0,29.183199999999925,120.09339999999965,27
2020-01-24,Hubei,549,24,31,30.97559999999986,112.27070000000047,494
2020-01-24,Guangdong,53,0,2,23.341700000000138,113.42440000000113,51
2020-01-24,Zhejiang,43,0,1,29.183199999999925,120.09339999999965,42
2020-01-24,Beijing,36,0,1,40.18239999999991,116.4141999999994,35
2020-01-24,Chongqing,27,0,0,30.057199999999813,107.87400000000093,27
2020-01-24,Hunan,24,0,0,27.610399999999725,111.7088000000003,24
2020-01-24,Guangxi,23,0,0,23.829800000000056,108.78809999999984,23
2020-01-24,Shanghai,20,0,1,31.201999999999824,121.44909999999969,19
