date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-04-09,Saskatchewan,271,3,0,52.9399,-106.4509,268
2020-04-09,Yukon,7,0,0,64.2823,-135.0,7
2020-04-10,Alberta,1451,32,0,53.9333,-116.5765,1419
2020-04-10,Manitoba,230,3,0,53.7609,-98.8139,227
2020-04-10,New Brunswick,112,0,0,46.5653,-66.4619,112
2020-04-10,Nova Scotia,407,2,0,44.682,-63.7443,405
2020-04-10,Ontario,6237,222,0,51.2538,-85.3232,6015
2020-04-10,Quebec,11677,551,0,52.9399,-73.5491,11126
2020-04-10,Saskatchewan,285,3,0,52.9399,-106.4509,282
2020-04-10,Yukon,8,0,0,64.2823,-135.0,8
2020-04-11,Alberta,1567,40,0,53.9333,-116.5765,1527
2020-04-11,Manitoba,243,4,0,53.7609,-98.8139,239
2020-04-11,New Brunswick,112,0,0,46.5653,-66.4619,112
2020-04-11,Nova Scotia,428,2,0,44.682,-63.7443,426
2020-04-11,Ontario,6648,253,0,51.2538,-85.3232,6395
2020-04-11,Quebec,12292,621,0,52.9399,-73.5491,11671
2020-04-11,Saskatchewan,289,4,0,52.9399,-106.4509,285
2020-04-11,Yukon,8,0,0,64.2823,-135.0,8
2020-04-12,Alberta,1567,40,0,53.9333,-116.5765,1527
2020-04-12,Manitoba,242,4,0,53.7609,-98.8139,238
2020-04-12,New Brunswick,114,0,0,46.5653,-66.4619,114
2020-04-12,Nova Scotia,445,2,0,44.681999999999995,-63.7443,443
2020-04-12,Ontario,7049,274,0,51.2538,-85.3232,6775
2020-04-12,Quebec,12846,709,0,52.9399,-73.5491,12137
2020-04-12,Saskatchewan,298,4,0,52.9399,-106.4509,294
2020-04-12,Yukon,8,0,0,64.2823,-135.0,8
2020-04-13,Alberta,1732,46,0,53.9333,-116.5765,1686
2020-04-13,Manitoba,246,4,0,53.7609,-98.8139,242
2020-04-13,New Brunswick,116,0,0,46.5653,-66.4619,116
2020-04-13,Nova Scotia,474,3,0,44.682,-63.7443,471
2020-04-13,Ontario,7470,291,0,51.2538,-85.3232,7179
2020-04-13,Quebec,13557,804,0,52.9399,-73.5491,12753
2020-04-13,Saskatchewan,300,4,0,52.9399,-106.4509,296
2020-04-13,Yukon,8,0,0,64.2823,-135.0,8
2020-04-14,Alberta,1870,48,0,53.9333,-116.5765,1822
2020-04-14,Manitoba,246,4,0,53.7609,-98.8139,242
2020-04-14,New Brunswick,116,0,0,46.5653,-66.4619,116
2020-04-14,Nova Scotia,517,3,0,44.682,-63.7443,514
2020-04-14,Ontario,7953,334,0,51.2538,-85.3232,7619
2020-04-14,Quebec,14248,895,0,52.9399,-73.5491,13353
2020-04-14,Saskatchewan,300,4,0,52.9399,-106.4509,296
2020-04-14,Yukon,8,0,0,64.2823,-135.0,8
2020-04-15,Alberta,1870,48,0,53.9333,-116.5765,1822
2020-04-15,Manitoba,246,5,0,53.7609,-98.8139,241
2020-04-15,New Brunswick,117,0,0,46.5653,-66.4619,117
2020-04-15,Nova Scotia,549,3,0,44.682,-63.7443,546
2020-04-15,Ontario,8447,385,0,51.2538,-85.3232,8062
2020-04-15,Quebec,14860,994,0,52.9399,-73.5491,13866
2020-04-15,Saskatchewan,304,4,0,52.9399,-106.4509,300
2020-04-15,Yukon,8,0,0,64.2823,-135.0,8
2020-04-16,Alberta,1996,48,0,53.9333,-116.5765,1948
2020-04-16,Manitoba,250,5,0,53.7609,-98.8139,245
2020-04-16,New Brunswick,117,0,0,46.5653,-66.4619,117
2020-04-16,Nova Scotia,579,3,0,44.682,-63.7443,576
2020-04-16,Ontario,9840,490,0,51.2538,-85.3232,9350
2020-04-16,Quebec,15857,1089,0,52.9399,-73.5491,14768
2020-04-16,Saskatchewan,305,4,0,52.9399,-106.4509,301
2020-04-16,Yukon,8,0,0,64.2823,-135.0,8
2020-04-17,Alberta,2397,50,0,53.9333,-116.5765,2347
2020-04-17,Manitoba,250,5,0,53.7609,-98.8139,245
2020-04-17,New Brunswick,117,0,0,46.5653,-66.4619,117
2020-04-17,Nova Scotia,606,4,0,44.682,-63.7443,602
2020-04-17,Ontario,10456,524,0,51.2538,-85.3232,9932
2020-04-17,Quebec,16798,1176,0,52.9399,-73.5491,15622
2020-04-17,Saskatchewan,307,4,0,52.9399,-106.4509,303
2020-04-17,Yukon,8,0,0,64.2823,-135.0,8
2020-04-18,Alberta,2562,51,0,53.9333,-116.5765,2511
2020-04-18,Manitoba,253,5,0,53.7609,-98.8139,248
2020-04-18,New Brunswick,117,0,0,46.5653,-66.4619,117
2020-04-18,Nova Scotia,649,7,0,44.681999999999995,-63.7443,642
2020-04-18,Ontario,11013,564,0,51.2538,-85.3232,10449
2020-04-18,Quebec,17521,1274,0,52.9399,-73.5491,16247
2020-04-18,Saskatchewan,313,4,0,52.9399,-106.4509,309
